Trial, Divers, PDCS Mild, PDCS Serious
110 80 2:20 Air 9 28 200 240:00 2.5, 1, 0.063783, 0.008880
110 90 2:20 Air 18 28 249 298:00 3.5, 1, 0.068171, 0.009517
110 100 2:20 Air 25 28 295 351:00 3.5, 1, 0.072187, 0.010102
110 110 2:00 Air 5 26 28 353 414:40 4, 1, 0.075420, 0.010576
110 120 2:00 Air 10 26 35 413 486:40 4.5, 1, 0.077871, 0.010936
110 180 1:40 Air 3 23 47 68 593 736:20 7.5, 1, 0.095444, 0.013553
120 15 4:00 Air 0 4:00 0 F, 1, 0.009369, 0.001263
120 20 3:20 Air 4 8:00 0.5 H, 1, 0.012797, 0.001729
120 25 3:20 Air 9 13:00 0.5 J, 1, 0.017261, 0.002338
120 30 3:20 Air 24 28:00 0.5 L, 1, 0.022921, 0.003114
120 35 3:20 Air 38 42:00 1 N, 1, 0.028645, 0.003905
120 40 3:00 Air 2 49 54:40 1 O, 1, 0.034753, 0.004755
120 45 3:00 Air 3 71 77:40 1.5 Z, 1, 0.040646, 0.005581
120 50 3:00 Air 10 85 98:40 1.5 Z, 1, 0.046771, 0.006445
120 55 3:00 Air 19 116 138:40 2 Z, 1, 0.051351, 0.007096
120 60 3:00 Air 27 142 172:40 2 Z, 1, 0.055454, 0.007682
120 70 2:40 Air 13 28 190 234:20 2.5, 1, 0.063165, 0.008791
120 80 2:40 Air 24 28 246 301:20 3, 1, 0.068087, 0.009504
120 90 2:20 Air 7 26 28 303 367:00 3.5, 1, 0.072560, 0.010157
120 100 2:20 Air 15 25 28 372 443:00 4, 1, 0.076251, 0.010698
120 110 2:20 Air 21 25 38 433 520:00 5, 1, 0.079038, 0.011108
120 120 2:00 Air 3 23 25 47 480 580:40 5.5, 1, 0.082229, 0.011580
130 12 4:20 Air 0 4:20 0 F, 1, 0.008139, 0.001096
130 15 3:40 Air 3 7:20 0.5 G, 1, 0.010153, 0.001369
130 20 3:40 Air 8 12:20 0.5 I, 1, 0.014561, 0.001969
130 25 3:40 Air 17 21:20 0.5 K, 1, 0.020113, 0.002728
130 30 3:20 Air 2 32 38:00 1 M, 1, 0.026374, 0.003591
130 35 3:20 Air 5 44 53:00 1 O, 1, 0.033056, 0.004518
130 40 3:20 Air 6 66 76:00 1.5 Z, 1, 0.039671, 0.005444
130 45 3:00 Air 1 11 84 99:40 1.5 Z, 1, 0.046322, 0.006382
130 50 3:00 Air 2 20 118 143:40 2 Z, 1, 0.051400, 0.007103
130 55 3:00 Air 4 28 146 181:40 2 Z, 1, 0.056026, 0.007764
130 60 3:00 Air 12 28 170 213:40 2.5 Z, 1, 0.060864, 0.008459
130 70 2:40 Air 1 26 28 235 293:20 3, 1, 0.066862, 0.009327
130 80 2:40 Air 12 26 28 297 366:20 3.5, 1, 0.072277, 0.010116
130 90 2:40 Air 22 25 28 375 453:20 4, 1, 0.076315, 0.010707
130 100 2:20 Air 6 23 26 38 444 540:00 5, 1, 0.079648, 0.011198
130 120 2:20 Air 17 24 27 57 534 662:00 6, 1, 0.088092, 0.012451
130 180 2:00 Air 13 21 45 57 94 658 890:40 9, 1, 0.108864, 0.015593
140 10 4:40 Air 0 4:40 0 E, 1, 0.007439, 0.001002
140 15 4:00 Air 5 9:40 0.5 H, 1, 0.011368, 0.001534
140 20 4:00 Air 13 17:40 0.5 J, 1, 0.016669, 0.002257
140 25 3:40 Air 3 24 31:20 1 L, 1, 0.023117, 0.003141
140 30 3:40 Air 7 37 48:20 1 N, 1, 0.030302, 0.004135
140 35 3:20 Air 2 7 58 71:00 1.5 O, 1, 0.037743, 0.005173
140 40 3:20 Air 4 7 82 97:00 1.5 Z, 1, 0.044709, 0.006153
